RoomName,sensorType,Cluster
NU_00_LK00_A_FQ02_EM00EM_Energie_I,energy_interval,4
NU_00_LK00_A_FQ03_EM00EM_Energie_I,energy_interval,5
NU_00_LK00_D_FQ02_EM00EM_Energie_I,energy_interval,4
NU_00_LK00_D_FQ03_EM00EM_Energie_I,energy_interval,5
NU_02_LK02_A_FQ01_EM00EM_Energie_I,energy_interval,6
NU_02_LK02_B_FQ01_EM00EM_Energie_I,energy_interval,2
NU_02_LK02_B_FQ02_EM00EM_Energie_I,energy_interval,5
NU_02_LK02_C_FQ01_EM00EM_Energie_I,energy_interval,6
NU_03_LK03_C_FQ01_EM00EM_Energie_I,energy_interval,6
NU_03_LK03_C_FQ02_EM00EM_Energie_I,energy_interval,5
NU_04_LK04_B_FQ01_EM00EM_Energie_I,energy_interval,2
NU_04_LK04_C_FQ01_EM00EM_Energie_I,energy_interval,6
NU_04_LK04_C_FQ02_EM00EM_Energie_I,energy_interval,3
NU_05_LK05_A_FQ01_EM00EM_Energie_I,energy_interval,2
NU_05_LK05_A_FQ02_EM00EM_Energie_I,energy_interval,4
NU_05_LK05_B_FQ01_EM00EM_Energie_I,energy_interval,2
NU_05_LK05_C_FQ01_EM00EM_Energie_I,energy_interval,6
NU_06_LK06_B_FQ01_EM00EM_Energie_I,energy_interval,2
NU_06_LK06_B_FQ02_EM00EM_Energie_I,energy_interval,3
NU_06_LK06_C_FQ01_EM00EM_Energie_I,energy_interval,6
NU_06_LK06_C_FQ02_EM00EM_Energie_I,energy_interval,3
NU_06_LK06_D_FQ01_EM00EM_Energie_I,energy_interval,6
NU_07_LK07_A_FQ01_EM00EM_Energie_I,energy_interval,2
NU_07_LK07_A_FQ02_EM00EM_Energie_I,energy_interval,5
NU_07_LK07_B_FQ01_EM00EM_Energie_I,energy_interval,2
NU_07_LK07_B_FQ02_EM00EM_Energie_I,energy_interval,1
NU_07_LK07_C_FQ01_EM00EM_Energie_I,energy_interval,6
NU_07_LK07_C_FQ02_EM00EM_Energie_I,energy_interval,1
NU_08_LK08_A_FQ01_EM00EM_Energie_I,energy_interval,2
NU_08_LK08_A_FQ02_EM00EM_Energie_I,energy_interval,1
NU_09_LK09_A_FQ01_EM00EM_Energie_I,energy_interval,2
NU_09_LK09_A_FQ02_EM00EM_Energie_I,energy_interval,5
NU_10_LK10_A_FQ01_EM00EM_Energie_I,energy_interval,2
NU_10_LK10_A_FQ02_EM00EM_Energie_I,energy_interval,5
NU_10_LK10_B_FQ01_EM00EM_Energie_I,energy_interval,2
NU_11_LK11_A_FQ01_EM00EM_Energie_I,energy_interval,2
NU_11_LK11_A_FQ02_EM00EM_Energie_I,energy_interval,5
NU_12_LK12_A_FQ01_EM00EM_Energie_I,energy_interval,2
NU_12_LK12_A_FQ02_EM00EM_Energie_I,energy_interval,5
NU_K1_LKK1_B_FQ01_EM00EM_Energie_I,energy_interval,6
NU_K1_LKK1_B_FQ02_EM00EM_Energie_I,energy_interval,2
NU_K2_LKK2_A_FQ01_EM00EM_Energie_I,energy_interval,6
