RoomName,TimeSeries,sensorType,floor,seatPlaces,area,areaType,RoomFunction,Side,SmoothedTS,Cluster
NU_12AS1a_AQ01RQ_Referentieluchtkwaliteit_B,[1200 1200 1200 ...  436  430  435],Co2,12,,,,,,"[1200.         1200.         1200.         ...  430.26666667  430.57142857
  431.46153846]",0
NU_12AS2a_AQ01RQ_Referentieluchtkwaliteit_B,[1200. 1200. 1200. ...  437.  439.  439.],Co2,12,,,,,,"[1200.         1200.         1200.         ...  437.33333333  438.28571429
  438.61538462]",0
NU_11AS1a_AQ01RQ_Referentieluchtkwaliteit_B,[1200 1200 1200 ...  459  465  457],Co2,11,,,,,,"[1200.         1200.         1200.         ...  458.13333333  458.07142857
  458.46153846]",0
NU_11AS1b_AQ01RQ_Referentieluchtkwaliteit_B,[1200. 1200. 1200. ...  420.  419.  420.],Co2,11,,,,,,"[1200.         1200.         1200.         ...  419.73333333  419.5
  419.15384615]",0
NU_11AS2a_AQ01RQ_Referentieluchtkwaliteit_B,[1200. 1200. 1200. ...  438.  439.  447.],Co2,11,,,,,,"[1200.         1200.         1200.         ...  441.93333333  442.64285714
  443.15384615]",0
NU_10AS1a_AQ01RQ_Referentieluchtkwaliteit_B,[427. 428. 435. ... 426. 422. 430.],Co2,10,,,,,,"[448.38461538 451.57142857 454.93333333 ... 423.4        423.71428571
 423.92307692]",3
NU_10AS1b_AQ01RQ_Referentieluchtkwaliteit_B,[423. 423. 429. ... 442. 442. 436.],Co2,10,,,,,,"[441.46153846 444.71428571 445.06666667 ... 435.66666667 436.42857143
 437.23076923]",3
NU_10AS2a_AQ01RQ_Referentieluchtkwaliteit_B,[421. 421. 415. ... 511. 511. 511.],Co2,10,,,,,,"[436.5        453.32142857 466.51111111 ... 511.         511.
 511.        ]",3
NU_10AS2b_AQ01RQ_Referentieluchtkwaliteit_B,[930 930 930 ... 481 481 481],Co2,10,,,,,,[930. 930. 930. ... 481. 481. 481.],0
NU_09AS1a_AQ01RQ_Referentieluchtkwaliteit_B,[1200 1200 1200 ...    0    0    0],Co2,9,,,,,,[1200. 1200. 1200. ...    0.    0.    0.],2
NU_09AS1b_AQ01RQ_Referentieluchtkwaliteit_B,[1200 1200 1200 ...  434  427  429],Co2,9,,,,,,"[1200.         1200.         1200.         ...  432.53333333  433.21428571
  433.53846154]",0
NU_09AS2a_AQ01RQ_Referentieluchtkwaliteit_B,[1200. 1200. 1200. ...  419.  415.  416.],Co2,9,,,,,,"[1200.         1200.         1200.         ...  419.73333333  420.
  420.38461538]",0
NU_09AS2b_AQ01RQ_Referentieluchtkwaliteit_B,[1200. 1200. 1200. ...  424.  421.  423.],Co2,9,,,,,,"[1200.         1200.         1200.         ...  417.73333333  418.35714286
  419.07692308]",0
